i,n_playout,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
37,400,0.018550094,0.296296296,4.349681377,3.7396426,0.345092945,0.411354032
38,400,0.025433827,0.296296296,4.27583313,3.7008061,0.39630935,0.465760808
39,400,0.0305151,0.296296296,4.287339211,3.6946054,0.375966888,0.460385762
40,400,0.026501704,0.296296296,4.233319759,3.67556,0.391873762,0.475670389
41,400,0.020948593,0.296296296,4.177707672,3.6695814,0.435088615,0.527553405
42,400,0.025244895,0.296296296,4.171140671,3.633933,0.461639187,0.52863719
43,400,0.02399902,0.296296296,4.175654411,3.6594448,0.434213012,0.518504944
44,400,0.025282286,0.296296296,4.18337059,3.6465833,0.458327669,0.52338043
45,400,0.027884096,0.296296296,4.142680168,3.6492133,0.467547481,0.530138941
46,400,0.020381628,0.296296296,4.12450552,3.6711826,0.482121717,0.553043422
47,400,0.019750241,0.296296296,4.156522274,3.652248,0.463796258,0.523895279
48,400,0.02191041,0.296296296,4.216656685,3.624595,0.346173149,0.419245124
49,400,0.025115695,0.296296296,4.156898499,3.5815406,0.416027375,0.471441881
50,400,0.030047864,0.296296296,4.099340916,3.5838144,0.443808422,0.526655085
51,400,0.02316185,0.296296296,4.164175987,3.6099675,0.410141491,0.471205747
52,400,0.0214948,0.296296296,4.127417088,3.5620286,0.416407394,0.493388051
53,400,0.02604098,0.296296296,4.138975143,3.6020565,0.400296725,0.485214662
54,400,0.023337577,0.296296296,4.133072853,3.5942795,0.411394018,0.471787248
55,400,0.022558715,0.296296296,4.13649416,3.5657547,0.407146242,0.49350682
56,400,0.024647698,0.296296296,4.099198818,3.6179912,0.427570953,0.507557427
57,400,0.019785482,0.296296296,4.160321712,3.593412,0.400891255,0.468834321
58,400,0.022982046,0.296296296,4.141069412,3.5623333,0.393675046,0.469614589
59,400,0.030024292,0.296296296,4.135457039,3.5995593,0.409023747,0.496389009
60,400,0.024932146,0.296296296,4.139862061,3.576478,0.389457832,0.485914711
61,400,0.019934218,0.296296296,4.187129498,3.5773678,0.3497797,0.429929607
62,400,0.03328333,0.296296296,4.178035736,3.552547,0.334639753,0.433801815
63,400,0.03735565,0.296296296,4.074371338,3.575318,0.450541665,0.542805859
64,400,0.029710073,0.296296296,4.058720112,3.606048,0.442914401,0.529803621
65,400,0.03394699,0.296296296,4.095526695,3.5736377,0.441420714,0.518386414
66,400,0.027046679,0.296296296,4.108712196,3.5334773,0.401714667,0.500941329
67,400,0.032381885,0.296296296,4.145559311,3.5580008,0.318505739,0.426313143
68,400,0.03489361,0.296296296,4.14021349,3.5314608,0.321274483,0.417411581
69,400,0.02924608,0.296296296,4.13843441,3.530497,0.355282438,0.427366557
70,400,0.027349338,0.296296296,4.163161755,3.532936,0.319929305,0.42522774
71,400,0.023029266,0.296296296,4.17961216,3.5651975,0.334853227,0.422889568
72,400,0.02312496,0.296296296,4.017022133,3.5256267,0.467439383,0.538797514
73,400,0.025484845,0.296296296,4.031094074,3.489126,0.441927621,0.528821251
74,400,0.029230513,0.296296296,4.049891472,3.4896657,0.409721619,0.503208319
75,400,0.03329968,0.296296296,4.132220745,3.5237846,0.365567892,0.458635183
76,400,0.031037174,0.296296296,4.016530991,3.5177817,0.425108307,0.525135198
77,400,0.02953866,0.296296296,4.065429211,3.4697623,0.427375906,0.511074305
